"ExhibitionID","ExhibitionNumber","ExhibitionTitle","ExhibitionCitationDate","ExhibitionBeginDate","ExhibitionEndDate","ExhibitionSortOrder","ExhibitionURL","ExhibitionRole","ExhibitionRoleinPressRelease","ConstituentID","ConstituentType","DisplayName","AlphaSort","FirstName","MiddleName","LastName","Suffix","Institution","Nationality","ConstituentBeginDate","ConstituentEndDate","ArtistBio","Gender","VIAFID","WikidataID","ULANID","ConstituentURL","Year","Count"
3838,"401","The 28th Annual Exhibition of Advertising and Editorial Art of the New York Art Directors Club","[MoMA Exh. #401, March 15-April 17, 1949]",1949-03-15,"4/17/1949",471,"moma.org/calendar/exhibitions/3249","Competition Judge","Competition Judge",9168,"Individual","Alfred H. Barr, Jr.","Barr Alfred H. Jr.","Alfred","H.","Barr","Jr.","","American",1902,1981,"American, 1902–1981","Male",109252853,"Q711362",500241556,"moma.org/artists/9168",1949,302
3988,"636","Photographs from the Museum Collection","[MoMA Exh. #636, November 26, 1958-January 18, 1959]",1958-11-26,"1/18/1959",715,"moma.org/calendar/exhibitions/2442","Curator","Selector",5623,"Individual","Edward Steichen","Steichen Edward","Edward","","Steichen","","","American",1879,1973,"American, born Luxembourg. 1879–1973","Male",73926135,"Q313899",500000431,"moma.org/artists/5623",1958,275
2600,"567","XXVth Anniversary Exhibition: Paintings from the Museum Collection","[MoMA Exh. #567, October 19, 1954-January 23, 1955 (1st Floor); October 19, 1954-January 2, 1955 (2nd Floor); October 19, 1954-February 6, 1955 (3rd Floor)]",1954-10-19,"2/6/1955",642,"moma.org/calendar/exhibitions/2800","Installer","Installer",9168,"Individual","Alfred H. Barr, Jr.","Barr Alfred H. Jr.","Alfred","H.","Barr","Jr.","","American",1902,1981,"American, 1902–1981","Male",109252853,"Q711362",500241556,"moma.org/artists/9168",1954,262
79,"637","20th Century Design from the Museum Collection","[MoMA Exh. #637, December 17, 1958-February 23, 1959]",1958-12-17,"2/23/1959",716,"moma.org/calendar/exhibitions/2729","Curator","Selector",9148,"Individual","Greta Daniel","Daniel Greta","Greta","","Daniel","","","",NA,NA,"","Female",164515513,"",NA,"moma.org/artists/9148",1958,259
3939,"569","The Family of Man","[MoMA Exh. #569, January 24-May 8, 1955]",1955-01-24,"5/8/1955",644,"moma.org/calendar/exhibitions/2429","Curator","Director",5623,"Individual","Edward Steichen","Steichen Edward","Edward","","Steichen","","","American",1879,1973,"American, born Luxembourg. 1879–1973","Male",73926135,"Q313899",500000431,"moma.org/artists/5623",1955,254
NA,"No#","Informal Exhibition Fall 1943: Adams, Emerson, Stieglitz, Strand, Weston","[MoMA Exh. #NN2, November 3, 1943-unknown closing date]",1943-11-03,"",294,"","Artist","Artist",60,"Individual","Ansel Adams","Adams Ansel","Ansel","","Adams","","","American",1902,1984,"American, 1902–1984","Male",61625857,"Q60809",500026108,"moma.org/artists/60",1943,232
2749,"678","Recent Acquisitions","[MoMA Exh. #678, December 21, 1960-February 5, 1961]",1960-12-21,"2/5/1961",759,"moma.org/calendar/exhibitions/2864","Curator","Selector",10488,"Individual","Mildred Constantine","Constantine Mildred","Mildred","","Constantine","","","",NA,NA,"","",2464089,"Q6850955",NA,"moma.org/artists/10488",1960,225
238,"463","Good Design","[MoMA Exh. #463, November 21, 1950-January 28, 1951]",1950-11-21,"1/28/1951",533,"moma.org/calendar/exhibitions/1714","Competition Judge","Competition Judge",44443,"Individual","Serge Chermayeff","Chermayeff Serge","Serge","","Chermayeff","","","British",1900,1996,"British, born Russia, 1900–1996","Male",46808185,"Q2118101",500011342,"moma.org/artists/44443",1950,222
274,"258b","Design for Use","[MoMA Exh. #258b, May 24-October 22, 1944]",1944-05-24,"10/22/1944",312,"moma.org/calendar/exhibitions/2750","Curator","Director",44443,"Individual","Serge Chermayeff","Chermayeff Serge","Serge","","Chermayeff","","","British",1900,1996,"British, born Russia, 1900–1996","Male",46808185,"Q2118101",500011342,"moma.org/artists/44443",1944,213
3834,"399","The Exact Instant","[MoMA Exh. #399, February 8-May 1, 1949]",1949-02-08,"5/1/1949",469,"moma.org/calendar/exhibitions/3245","Curator","Director",5623,"Individual","Edward Steichen","Steichen Edward","Edward","","Steichen","","","American",1879,1973,"American, born Luxembourg. 1879–1973","Male",73926135,"Q313899",500000431,"moma.org/artists/5623",1949,203
126,"542","Good Design","[MoMA Exh. #542, September 22-November 29, 1953]",1953-09-22,"11/29/1953",617,"moma.org/calendar/exhibitions/1717","Curator","Director",8773,"Individual","Edgar Kaufmann, Jr.","Kaufmann Edgar Jr","Edgar","","Kaufmann","","","American",1910,1989,"American, 1910–1989","",34608572,"",NA,"moma.org/artists/8773",1953,202
282,"850","Word and Image: Posters and Typography from the Graphic Design Collection of the Museum of Modern Art, 1879–1967","[MoMA Exh. #850, January 25-March 10, 1968]",1968-01-25,"3/10/1968",953,"moma.org/calendar/exhibitions/2753","Curator","Director",10488,"Individual","Mildred Constantine","Constantine Mildred","Mildred","","Constantine","","","",NA,NA,"","",2464089,"Q6850955",NA,"moma.org/artists/10488",1968,199
3961,"606","Textiles U.S.A.","[MoMA Exh. #606, August 29-November 4, 1956]",1956-08-29,"11/4/1956",683,"moma.org/calendar/exhibitions/3337","Curator","Director",9148,"Individual","Greta Daniel","Daniel Greta","Greta","","Daniel","","","",NA,NA,"","Female",164515513,"",NA,"moma.org/artists/9148",1956,195
197,"570","Good Design: 5th Anniversary","[MoMA Exh. #570, February 8-March 20, 1955]",1955-02-08,"3/20/1955",645,"moma.org/calendar/exhibitions/1718","Curator","Selector",9168,"Individual","Alfred H. Barr, Jr.","Barr Alfred H. Jr.","Alfred","H.","Barr","Jr.","","American",1902,1981,"American, 1902–1981","Male",109252853,"Q711362",500241556,"moma.org/artists/9168",1955,194
122,"494","Good Design","[MoMA Exh. #494, November 27, 1951-January 27, 1952]",1951-11-27,"1/27/1952",564,"moma.org/calendar/exhibitions/1715","Curator","Selector",NA,"Individual","William Friedman","Friedman William","William","","Friedman","","","",NA,NA,"","",NA,"",NA,"",1951,192
3079,"105","PM Competition: The Artist as Reporter","[MoMA Exh. #105, April 15-May 7, 1940]",1940-04-15,"5/7/1940",151,"moma.org/calendar/exhibitions/2984","Competition Judge","Competition Judge",11499,"Individual","Holger Cahill","Cahill Holger","Holger","","Cahill","","","",NA,NA,"","",45764398,"Q5880218",500121994,"moma.org/artists/11499",1940,177
2742,"290","The Museum Collection of Painting and Sculpture","[MoMA Exh. #290, June 20, 1945-January 13, 1946 (2nd floor); June 20, 1945-February 13, 1946 (3rd floor)]",1945-06-20,"2/13/1946",354,"moma.org/calendar/exhibitions/2861","Installer","Installer",9168,"Individual","Alfred H. Barr, Jr.","Barr Alfred H. Jr.","Alfred","H.","Barr","Jr.","","American",1902,1981,"American, 1902–1981","Male",109252853,"Q711362",500241556,"moma.org/artists/9168",1945,175
2733,"732","Painting and Sculpture from the Museum Collection","[MoMA Exh. #732, May 27, 1964-unknown closing date]",1964-05-27,"",824,"moma.org/calendar/exhibitions/2857","Artist","Artist",200,"Individual","Richard Anuszkiewicz","Anuszkiewicz Richard","Richard","","Anuszkiewicz","","","American",1930,NA,"American, born 1930","Male",52258048,"Q558505",500025580,"moma.org/artists/200",1964,169
230,"423","Modern Art in Your Life","[MoMA Exh. #423, October 5-December 4, 1949]",1949-10-05,"12/4/1949",493,"moma.org/calendar/exhibitions/2744","Curator","Assembler",25820,"Individual","Robert Goldwater","Goldwater Robert","Robert","","Goldwater","","","",NA,NA,"","",9878386,"Q442213",NA,"moma.org/artists/25820",1949,166
2630,"209","Twentieth Century Portraits","[MoMA Exh. #209, December 9, 1942-January 24, 1943]",1942-12-09,"1/24/1943",258,"moma.org/calendar/exhibitions/1732","Curator","Director",9634,"Individual","Monroe Wheeler","Wheeler Monroe","Monroe","","Wheeler","","","American",1899,1988,"American, 1899–1988","Male",40395988,"",NA,"moma.org/artists/9634",1942,160
2857,"224","The Latin-American Collection of the Museum of Modern Art","[MoMA Exh. #224, March 31-June 6, 1943]",1943-03-31,"6/6/1943",273,"moma.org/calendar/exhibitions/2897","Curator","Advisor",11888,"Individual","Lincoln Kirstein","Kirstein Lincoln","Lincoln","","Kirstein","","","American",1907,1996,"American, 1907–1996","Male",4931772,"Q351339",500320571,"moma.org/artists/11888",1943,156
2526,"336","Useful Objects","[MoMA Exh. #336, November 26, 1946-January 26, 1947]",1946-11-26,"1/26/1947",401,"moma.org/calendar/exhibitions/2787","Curator","Director",8773,"Individual","Edgar Kaufmann, Jr.","Kaufmann Edgar Jr","Edgar","","Kaufmann","","","American",1910,1989,"American, 1910–1989","",34608572,"",NA,"moma.org/artists/8773",1946,156
125,"520","Good Design","[MoMA Exh. #520, September 23-November 30, 1952]",1952-09-23,"11/30/1952",590,"moma.org/calendar/exhibitions/1716","Curator","Director",8773,"Individual","Edgar Kaufmann, Jr.","Kaufmann Edgar Jr","Edgar","","Kaufmann","","","American",1910,1989,"American, 1910–1989","",34608572,"",NA,"moma.org/artists/8773",1952,152
3970,"601","Recent Drawings U.S.A.","[MoMA Exh. #601, April 25-August 5, 1956]",1956-04-25,"8/5/1956",677,"moma.org/calendar/exhibitions/3344","Curator","Selector",10244,"Individual","William S. Lieberman","Lieberman William S.","William","S.","Lieberman","","","American",1923,2005,"American, 1923–2005","Male",109190713,"Q19997602",NA,"moma.org/artists/10244",1956,148
2658,"695","The Art of Assemblage","[MoMA Exh. #695, October 4-November 12, 1961]",1961-10-04,"11/12/1961",780,"moma.org/calendar/exhibitions/1880","Curator","Selector",25816,"Individual","William C. Seitz","Seitz William C.","William","","Seitz","","","",NA,NA,"","",39518687,"",NA,"moma.org/artists/25816",1961,145
2700,"654","30th Anniversary Special Installation - Towards the ""New"" Museum","[MoMA Exh. #654, November 18-November 29, 1959]",1959-11-18,"11/29/1959",733,"moma.org/calendar/exhibitions/2840","Artist","Artist",41,"Individual","Berenice Abbott","Abbott Berenice","Berenice","","Abbott","","","American",1898,1991,"American, 1898–1991","Female",44309674,"Q231861",500020631,"moma.org/artists/41",1959,140
80,"357","100 Useful Objects of Fine Design (available under $100)","[MoMA Exh. #357, September 16, 1947-January 25, 1948]",1947-09-16,"1/25/1948",423,"moma.org/calendar/exhibitions/2730","Curator","Selector",8773,"Individual","Edgar Kaufmann, Jr.","Kaufmann Edgar Jr","Edgar","","Kaufmann","","","American",1910,1989,"American, 1910–1989","",34608572,"",NA,"moma.org/artists/8773",1947,135
2613,"258a","Painting, Sculpture, Prints","[MoMA Exh. #258a, May 24-October 15, 1944]",1944-05-24,"10/15/1944",311,"moma.org/calendar/exhibitions/2804","Curator","Director",8150,"Individual","James Thrall Soby","Soby James Thrall","James","","Soby","","","American",1906,1979,"American, 1906–1979","Male",110085602,"Q19997542",500326188,"moma.org/artists/8150",1944,134
3846,"410","Master Prints from the Museum Collection","[MoMA Exh. #410, May 10-July 10, 1949]",1949-05-10,"7/10/1949",480,"moma.org/calendar/exhibitions/2405","Curator","Selector",9168,"Individual","Alfred H. Barr, Jr.","Barr Alfred H. Jr.","Alfred","H.","Barr","Jr.","","American",1902,1981,"American, 1902–1981","Male",109252853,"Q711362",500241556,"moma.org/artists/9168",1949,134
4204,"736","Edward Steichen Photography Center","[MoMA Exh. #736, May 27, 1965-unknown closing date]",1964-05-27,"",829,"moma.org/calendar/exhibitions/3448","Curator","Selector",18212,"Individual","Grace M. Mayer","Mayer Grace M.","Grace","M.","Mayer","","","",NA,NA,"","Female",28373641,"",NA,"moma.org/artists/18212",1964,132
2529,"160","Useful Objects Under $10","[MoMA Exh. #160, December 2, 1941-January 4, 1942]",1941-12-02,"1/4/1942",208,"moma.org/calendar/exhibitions/2790","Artist","Artist",34,"Individual","Alvar Aalto","Aalto Alvar","Alvar","","Aalto","","","Finnish",1898,1976,"Finnish, 1898–1976","Male",71410602,"Q82840",500002617,"moma.org/artists/34",1941,131
2803,"647","The Package","[MoMA Exh. #647, September 9-November 1, 1959]",1959-09-09,"11/1/1959",726,"moma.org/calendar/exhibitions/1953","Curator","Director",10488,"Individual","Mildred Constantine","Constantine Mildred","Mildred","","Constantine","","","",NA,NA,"","",2464089,"Q6850955",NA,"moma.org/artists/10488",1959,129
2875,"246","Romantic Painting in America","[MoMA Exh. #246, November 17, 1943-February 6, 1944]",1943-11-17,"2/6/1944",297,"moma.org/calendar/exhibitions/2903","Curator","Director",19286,"Individual","Dorothy C. Miller","Miller Dorothy C.","Dorothy","Canning","Miller","","","American",1904,2003,"American, 1904–2003","Female",111290627,"Q5298349",500322604,"moma.org/artists/19286",1943,124
2714,"252","Modern Drawings","[MoMA Exh. #252, February 16-May 10, 1944]",1944-02-16,"5/10/1944",303,"moma.org/calendar/exhibitions/2849","Curator","Assistant Curator",16155,"Individual","Margaret Miller","Miller Margaret","Margaret","","Miller","","","",NA,NA,"","",NA,"",NA,"moma.org/artists/16155",1944,123
281,"666","Art Nouveau","[MoMA Exh. #666, June 8-September 6, 1960]",1960-06-08,"9/6/1960",745,"moma.org/calendar/exhibitions/2752","Curator","Selector",10488,"Individual","Mildred Constantine","Constantine Mildred","Mildred","","Constantine","","","",NA,NA,"","",2464089,"Q6850955",NA,"moma.org/artists/10488",1960,122
2873,"892","Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection","[MoMA Exh. #892, May 28-September 1, 1969]",1969-05-28,"9/1/1969",999,"moma.org/calendar/exhibitions/1992","Curator","Director",19286,"Individual","Dorothy C. Miller","Miller Dorothy C.","Dorothy","Canning","Miller","","","American",1904,2003,"American, 1904–2003","Female",111290627,"Q5298349",500322604,"moma.org/artists/19286",1969,120
2721,"396","American Paintings from the Museum Collection","[MoMA Exh. #396, December 23, 1948-March 13, 1949]",1948-12-23,"3/13/1949",466,"moma.org/calendar/exhibitions/2852","Curator","Director",19286,"Individual","Dorothy C. Miller","Miller Dorothy C.","Dorothy","Canning","Miller","","","American",1904,2003,"American, 1904–2003","Female",111290627,"Q5298349",500322604,"moma.org/artists/19286",1948,116
102,"208","Useful Objects in Wartime under $10","[MoMA Exh. #208, December 2, 1942-January 9, 1943]",1942-12-02,"1/9/1943",257,"moma.org/calendar/exhibitions/2733","Arranger","Arranger",NA,"Individual","Alice M. Carson","Carson Alice M.","Alice","M.","Carson","","","",NA,NA,"","",NA,"",NA,"",1942,114
2732,"324","Paintings, Sculpture, and Graphic Arts from the Museum Collection","[MoMA Exh. #324, July 2, 1946-unknown closing date]",1946-07-02,"9/12/1954",389,"moma.org/calendar/exhibitions/2856","Curator","Selector",9168,"Individual","Alfred H. Barr, Jr.","Barr Alfred H. Jr.","Alfred","H.","Barr","Jr.","","American",1902,1981,"American, 1902–1981","Male",109252853,"Q711362",500241556,"moma.org/artists/9168",1946,113
